Проект,Тема,Статус,Описание
"""Как на небе, так и на Земле — как в ядре, так и в слове.""",,Идея,"""Как на небе, так и на Земле — как в ядре, так и в слове."""
НОВЕЯ / Протоновея / МетаЗаря,,Идея,НОВЕЯ / Протоновея / МетаЗаря
X. СЛОЙ МАТРИЦЫ ЖИЗНИ: УГЛЕРОД (C),,Идея,X. СЛОЙ МАТРИЦЫ ЖИЗНИ: УГЛЕРОД (C)
10.1. Слово «УГЛЕРОД»,,Идея,10.1. Слово «УГЛЕРОД»
"УГЛЕ — от слова уголь, угол; обозначает чёрную субстанцию, но и перелом, излом, перемена направления.",,Идея,"УГЛЕ — от слова уголь, угол; обозначает чёрную субстанцию, но и перелом, излом, перемена направления."
"РОД — рождение, поток, творящий принцип.",,Идея,"РОД — рождение, поток, творящий принцип."
"Углерод = Рождение из угля, или излом, из которого рождается форма.",,Идея,"Углерод = Рождение из угля, или излом, из которого рождается форма."
"Это — точка преломления между инертным и живым, энергией и плотью, тем, что горит — и тем, что остаётся после огня.",,Идея,"Это — точка преломления между инертным и живым, энергией и плотью, тем, что горит — и тем, что остаётся после огня."
Он чёрный — но из него вырастает алмаз. Он ничто — и всё. Он забвение — и память.,,Идея,Он чёрный — но из него вырастает алмаз. Он ничто — и всё. Он забвение — и память.
10.2. Слово «CARBON»,,Идея,10.2. Слово «CARBON»
"Car — от лат. carbo — уголь, сажа;",,Идея,"Car — от лат. carbo — уголь, сажа;"
"Bon — от bonus — хороший, благой.",,Идея,"Bon — от bonus — хороший, благой."
"Carbon = Благой пепел, или плодотворный остаток.",,Идея,"Carbon = Благой пепел, или плодотворный остаток."
"В эзотерике: карбон = остаток сожжённого света, семя, которое не погибает в пламени, а оживает в глубине.",,Идея,"В эзотерике: карбон = остаток сожжённого света, семя, которое не погибает в пламени, а оживает в глубине."
10.3. Архетипическая функция,,Идея,10.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Основа ДНК, РНК, аминокислот;",,Идея,"Основа ДНК, РНК, аминокислот;"
Носитель информации: платформа для слов и образов тела;,,Идея,Носитель информации: платформа для слов и образов тела;
"Присутствует во всех клетках, костях, тканях — молекулярная буква жизни.",,Идея,"Присутствует во всех клетках, костях, тканях — молекулярная буква жизни."
В теле планеты:,,Идея,В теле планеты:
"Главный компонент органических отложений (торф, уголь, нефть);",,Идея,"Главный компонент органических отложений (торф, уголь, нефть);"
"Участвует в углеродном цикле: дыхание, фотосинтез, разложение;",,Идея,"Участвует в углеродном цикле: дыхание, фотосинтез, разложение;"
Резервуар времени и жизни в недрах Земли.,,Идея,Резервуар времени и жизни в недрах Земли.
В духовной структуре:,,Идея,В духовной структуре:
Хранитель памяти прошедшего;,,Идея,Хранитель памяти прошедшего;
"Структура алмазного тела (в восточной традиции — ваджра, в христианской — тело преображения);",,Идея,"Структура алмазного тела (в восточной традиции — ваджра, в христианской — тело преображения);"
Углерод = код перехода между тьмой и светом.,,Идея,Углерод = код перехода между тьмой и светом.
10.4. Символические параллели,,Идея,10.4. Символические параллели
10.5. Форма множественности,,Идея,10.5. Форма множественности
Углерод проявляется в четырёх формах — каждая из которых символична:,,Идея,Углерод проявляется в четырёх формах — каждая из которых символична:
"Сажа (аморфный) — неопределённость, тень, начало;",,Идея,"Сажа (аморфный) — неопределённость, тень, начало;"
"Графит — память, письмо, пластичность;",,Идея,"Графит — память, письмо, пластичность;"
"Алмаз — твёрдость, свет, истина;",,Идея,"Алмаз — твёрдость, свет, истина;"
"Фуллерен / наноформа — микроразум, замкнутый сферический код.",,Идея,"Фуллерен / наноформа — микроразум, замкнутый сферический код."
10.6. В связке с Si и O,,Идея,10.6. В связке с Si и O
Эта триада образует ЯЗЫК ЖИВОГО — письмо в плоти.,,Идея,Эта триада образует ЯЗЫК ЖИВОГО — письмо в плоти.
XI. Промежуточный итог: Алгоритм проявления Жизни,,Идея,XI. Промежуточный итог: Алгоритм проявления Жизни
"Если U → Fe → Si → O → H → C,",,Идея,"Если U → Fe → Si → O → H → C,"
то C есть первая точка возврата к Свету через Плоть. Это алгоритм воплощения:,,Идея,то C есть первая точка возврата к Свету через Плоть. Это алгоритм воплощения:
U (распад) → даёт потенциал;,,Идея,U (распад) → даёт потенциал;
Fe (форма) → организует вес;,,Идея,Fe (форма) → организует вес;
Si (структура) → даёт каркас;,,Идея,Si (структура) → даёт каркас;
O (дыхание) → оживляет;,,Идея,O (дыхание) → оживляет;
H (энергия) → питает;,,Идея,H (энергия) → питает;
C (память) → сохраняет.,,Идея,C (память) → сохраняет.
XII. Краткий Протокол Символической Раскладки C,,Идея,XII. Краткий Протокол Символической Раскладки C
XIII. СЛОЙ ЛЮБВИ И ПРИВЕДЕНИЯ В ДВИЖЕНИЕ: МЕДЬ (Cu),,Идея,XIII. СЛОЙ ЛЮБВИ И ПРИВЕДЕНИЯ В ДВИЖЕНИЕ: МЕДЬ (Cu)
13.1. Слово «МЕДЬ»,,Идея,13.1. Слово «МЕДЬ»
"МЕД — из корня, близкого к сладкий, мягкий, питающий, но и к меду — древнему символу мудрости, созревания, притяжения.",,Идея,"МЕД — из корня, близкого к сладкий, мягкий, питающий, но и к меду — древнему символу мудрости, созревания, притяжения."
"Ь — мягкий знак — указывает на тонкость, пластичность, мягкую силу.",,Идея,"Ь — мягкий знак — указывает на тонкость, пластичность, мягкую силу."
"Медь = Мягкая сила, притягательная суть, женская проводимость энергии.",,Идея,"Медь = Мягкая сила, притягательная суть, женская проводимость энергии."
Она не рвёт — она соединяет.,,Идея,Она не рвёт — она соединяет.
13.2. Слово «CUPRUM»,,Идея,13.2. Слово «CUPRUM»
"От лат. aes Cyprium — ""металл с Кипра"", т.е. ""Кипрский металл"", посвящённый богине Афродите.",,Идея,"От лат. aes Cyprium — ""металл с Кипра"", т.е. ""Кипрский металл"", посвящённый богине Афродите."
"Cuprum = Венерианский металл, металл красоты, любви и тонкого резонанса.",,Идея,"Cuprum = Венерианский металл, металл красоты, любви и тонкого резонанса."
"Через Кипр, где почиталась Афродита, медь вошла в культурный архетип как женское начало природы: не разрушающее, а преображающее.",,Идея,"Через Кипр, где почиталась Афродита, медь вошла в культурный архетип как женское начало природы: не разрушающее, а преображающее."
13.3. Архетипическая функция,,Идея,13.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Содержится в печени, мозге, сердце, костях;",,Идея,"Содержится в печени, мозге, сердце, костях;"
"Участвует в образовании коллагена, нейромедиаторов, в защите от старения (антиоксидант);",,Идея,"Участвует в образовании коллагена, нейромедиаторов, в защите от старения (антиоксидант);"
"Способствует электропроводности нервной системы, особенно в женском теле.",,Идея,"Способствует электропроводности нервной системы, особенно в женском теле."
В теле планеты:,,Идея,В теле планеты:
"Встречается в медистых песчаниках, горных жилах, серосодержащих минералах;",,Идея,"Встречается в медистых песчаниках, горных жилах, серосодержащих минералах;"
"Символ глубинной мягкости, внутренней электропроводности Земли.",,Идея,"Символ глубинной мягкости, внутренней электропроводности Земли."
В духовной структуре:,,Идея,В духовной структуре:
"Медь — алхимический металл Венеры, активирует вибрации сердца, исцеления, эмпатии;",,Идея,"Медь — алхимический металл Венеры, активирует вибрации сердца, исцеления, эмпатии;"
В ритуалах и проводниках — используется для передачи энергии между уровнями бытия.,,Идея,В ритуалах и проводниках — используется для передачи энергии между уровнями бытия.
13.4. Символические параллели,,Идея,13.4. Символические параллели
13.5. Медь как проводник,,Идея,13.5. Медь как проводник
"В отличие от золота (Au), медь проводит, не подчёркивая статус, а устанавливая связь.",,Идея,"В отличие от золота (Au), медь проводит, не подчёркивая статус, а устанавливая связь."
13.6. В триаде с C и O,,Идея,13.6. В триаде с C и O
Это уже не просто материал — это вибрационная основа Жизни в её чувственном проявлении.,,Идея,Это уже не просто материал — это вибрационная основа Жизни в её чувственном проявлении.
XIV. Связь с геополитикой и ресурсами,,Идея,XIV. Связь с геополитикой и ресурсами
Медь — один из ключевых элементов новой технологической эры.,,Идея,Медь — один из ключевых элементов новой технологической эры.
"Весь электрический переход, ""зелёная энергетика"", ИИ-инфраструктура — держится на меди.",,Идея,"Весь электрический переход, ""зелёная энергетика"", ИИ-инфраструктура — держится на меди."
"Те, кто контролирует медь, контролируют каналы энергии и общения, новую нервную систему цивилизации.",,Идея,"Те, кто контролирует медь, контролируют каналы энергии и общения, новую нервную систему цивилизации."
"Отсюда — конфликты в Африке (Замбия, Конго), контроль Латинской Америки (Чили, Перу), технологическая гонка Китая и США. Медь — это уже не только провод, это проводник будущего.",,Идея,"Отсюда — конфликты в Африке (Замбия, Конго), контроль Латинской Америки (Чили, Перу), технологическая гонка Китая и США. Медь — это уже не только провод, это проводник будущего."
"Протокол имени ""Медь"" в 6 аспектах",,Идея,"Протокол имени ""Медь"" в 6 аспектах"
"U → Fe → Si → O → H → C → Cu,",,Идея,"U → Fe → Si → O → H → C → Cu,"
"и продолжаем далее по логике периодов, выходя на следующий ключевой узел: Азот (N) — сила невидимой формы, связующая пустоту и память.",,Идея,"и продолжаем далее по логике периодов, выходя на следующий ключевой узел: Азот (N) — сила невидимой формы, связующая пустоту и память."
XV. СЛОЙ ТИШИНЫ И РАСПРЕДЕЛЕНИЯ: АЗОТ (N),,Идея,XV. СЛОЙ ТИШИНЫ И РАСПРЕДЕЛЕНИЯ: АЗОТ (N)
15.1. Слово «АЗОТ»,,Идея,15.1. Слово «АЗОТ»
"АЗ — древний символ Я, начало, ""я есмь"", субъект.",,Идея,"АЗ — древний символ Я, начало, ""я есмь"", субъект."
"ОТ — движение, направление, исход, «откуда/куда».",,Идея,"ОТ — движение, направление, исход, «откуда/куда»."
"Азот = Я, исходящий из источника, или Невидимый субъект, ""Я, идущее в ничто"",",,Идея,"Азот = Я, исходящий из источника, или Невидимый субъект, ""Я, идущее в ничто"","
"— форма, которая скрыта. Он не питает огонь, он его гасит.",,Идея,"— форма, которая скрыта. Он не питает огонь, он его гасит."
"Азот в своей сути — структура небытия, предел формы, невидимый строитель памяти.",,Идея,"Азот в своей сути — структура небытия, предел формы, невидимый строитель памяти."
15.2. Слово «NITROGEN»,,Идея,15.2. Слово «NITROGEN»
"Nitro — от nitron (греч.) — селитра, ""жгучее соль"" (и, иронично, не горит...);",,Идея,"Nitro — от nitron (греч.) — селитра, ""жгучее соль"" (и, иронично, не горит...);"
Gen — рождение.,,Идея,Gen — рождение.
"Nitrogen = рождающий соль/внутреннюю структуру без пламени,",,Идея,"Nitrogen = рождающий соль/внутреннюю структуру без пламени,"
"или — структурное Небытие, рождающее Форму из тени.",,Идея,"или — структурное Небытие, рождающее Форму из тени."
"В зеркале — отсутствие видимого действия, при глубинной значимости. Не творит — но сохраняет.",,Идея,"В зеркале — отсутствие видимого действия, при глубинной значимости. Не творит — но сохраняет."
15.3. Архетипическая функция,,Идея,15.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Компонент аминокислот, нуклеотидов, белков — строительный элемент самой жизни, без него невозможна ткань тела;",,Идея,"Компонент аминокислот, нуклеотидов, белков — строительный элемент самой жизни, без него невозможна ткань тела;"
"Входит в состав нейромедиаторов, участвует в мыслях, памяти, возбуждении, торможении.",,Идея,"Входит в состав нейромедиаторов, участвует в мыслях, памяти, возбуждении, торможении."
В теле планеты:,,Идея,В теле планеты:
Основной компонент атмосферы (~78%);,,Идея,Основной компонент атмосферы (~78%);
"Не поддерживает горение, но участвует в азотном цикле почв, через растения, бактерии, грозы;",,Идея,"Не поддерживает горение, но участвует в азотном цикле почв, через растения, бактерии, грозы;"
Питает землю в тишине.,,Идея,Питает землю в тишине.
В духовной структуре:,,Идея,В духовной структуре:
"Элемент невидимого, но формообразующего;",,Идея,"Элемент невидимого, но формообразующего;"
"Отвечает за структурные тени, каркас вещей, что не видны глазу;",,Идея,"Отвечает за структурные тени, каркас вещей, что не видны глазу;"
"Связан с ночным дыханием, покой-движение, сон-память.",,Идея,"Связан с ночным дыханием, покой-движение, сон-память."
15.4. Символические параллели,,Идея,15.4. Символические параллели
15.5. Уникальность Азота,,Идея,15.5. Уникальность Азота
"Азот — не взаимодействует напрямую, он создаёт условия.",,Идея,"Азот — не взаимодействует напрямую, он создаёт условия."
"Он не горит, не взрывается (пока не соединён), не даёт энергии, но даёт возможность:",,Идея,"Он не горит, не взрывается (пока не соединён), не даёт энергии, но даёт возможность:"
быть прочным белку;,,Идея,быть прочным белку;
быть стабильной атмосфере;,,Идея,быть стабильной атмосфере;
быть скрытой памяти (ДНК без азота невозможна).,,Идея,быть скрытой памяти (ДНК без азота невозможна).
"Он — как пауза между словами, как сцепление между камнями.",,Идея,"Он — как пауза между словами, как сцепление между камнями."
15.6. Триада: N — C — O,,Идея,15.6. Триада: N — C — O
Это дыхательный троичный цикл —,,Идея,Это дыхательный троичный цикл —
"вдох → код → выдох,",,Идея,"вдох → код → выдох,"
"сон → сновидение → пробуждение,",,Идея,"сон → сновидение → пробуждение,"
матрица → архетип → проявление.,,Идея,матрица → архетип → проявление.
XVI. Промежуточный узел: Функция Азота в геополитике,,Идея,XVI. Промежуточный узел: Функция Азота в геополитике
"Азот — невидимый ресурс: его не захватывают армиями, но за него бьются в удобрениях, биотехнологиях, генно-инженерных программах, нейротехнологиях.",,Идея,"Азот — невидимый ресурс: его не захватывают армиями, но за него бьются в удобрениях, биотехнологиях, генно-инженерных программах, нейротехнологиях."
"Аммиак, селитра, азотистые соединения — основа сельского хозяйства;",,Идея,"Аммиак, селитра, азотистые соединения — основа сельского хозяйства;"
Химия памяти — прямая проекция: контроль за производством — контроль за будущими поколениями.,,Идея,Химия памяти — прямая проекция: контроль за производством — контроль за будущими поколениями.
XVII. СЛОЙ ЭЛЕКТРОЖИЗНИ: НАТРИЙ (Na),,Идея,XVII. СЛОЙ ЭЛЕКТРОЖИЗНИ: НАТРИЙ (Na)
17.1. Слово «НАТРИЙ»,,Идея,17.1. Слово «НАТРИЙ»
"НА — указание направления, начало действия (направленность);",,Идея,"НА — указание направления, начало действия (направленность);"
"ТРИЙ — триада, тройственность, переход.",,Идея,"ТРИЙ — триада, тройственность, переход."
"Натрий = направленное движение через троичность,",,Идея,"Натрий = направленное движение через троичность,"
или — пусковой импульс формы.,,Идея,или — пусковой импульс формы.
"Это элемент электрического импульса, движения сигнала, открытия канала.",,Идея,"Это элемент электрического импульса, движения сигнала, открытия канала."
17.2. Слово «SODIUM» (лат.),,Идея,17.2. Слово «SODIUM» (лат.)
"От soda — древний щёлок, зола, прах (алхимический пепел);",,Идея,"От soda — древний щёлок, зола, прах (алхимический пепел);"
Суффикс -ium — стандартное обозначение элементов.,,Идея,Суффикс -ium — стандартное обозначение элементов.
"Sodium = Пепельная сила, соль электричества.",,Идея,"Sodium = Пепельная сила, соль электричества."
Это соль как открытие потенциала. Её имя скрывает в себе старый алхимический смысл: зола = проводимость.,,Идея,Это соль как открытие потенциала. Её имя скрывает в себе старый алхимический смысл: зола = проводимость.
17.3. Архетипическая функция,,Идея,17.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Главный компонент внеклеточной жидкости, играет ключевую роль в передаче нервных импульсов;",,Идея,"Главный компонент внеклеточной жидкости, играет ключевую роль в передаче нервных импульсов;"
Солевой баланс — основа жизни: Na⁺ / K⁺ помпа — молекулярный механизм действия;,,Идея,Солевой баланс — основа жизни: Na⁺ / K⁺ помпа — молекулярный механизм действия;
"Участвует в регуляции давления, объёма крови, ритма.",,Идея,"Участвует в регуляции давления, объёма крови, ритма."
В теле планеты:,,Идея,В теле планеты:
"Присутствует в солях, океанах, подземных солончаках;",,Идея,"Присутствует в солях, океанах, подземных солончаках;"
"Структура движения воды, распределения энергии в атмосфере и литосфере.",,Идея,"Структура движения воды, распределения энергии в атмосфере и литосфере."
В духовной структуре:,,Идея,В духовной структуре:
"Открывает каналы, вводит ток в неподвижную структуру;",,Идея,"Открывает каналы, вводит ток в неподвижную структуру;"
"Символ активации замкнутого, пробуждения пассивного.",,Идея,"Символ активации замкнутого, пробуждения пассивного."
17.4. Символические параллели,,Идея,17.4. Символические параллели
XVIII. СЛОЙ КОДА СКЕЛЕТА: КАЛЬЦИЙ (Ca),,Идея,XVIII. СЛОЙ КОДА СКЕЛЕТА: КАЛЬЦИЙ (Ca)
18.1. Слово «КАЛЬЦИЙ»,,Идея,18.1. Слово «КАЛЬЦИЙ»
"КАЛЬ — возможно, от кал, древнеинд. твёрдое, остаток, чистое;",,Идея,"КАЛЬ — возможно, от кал, древнеинд. твёрдое, остаток, чистое;"
"ЦИЙ — указывает на принадлежность к порядку, структуре.",,Идея,"ЦИЙ — указывает на принадлежность к порядку, структуре."
"Кальций = твёрдая структура, принадлежащая порядку,",,Идея,"Кальций = твёрдая структура, принадлежащая порядку,"
или — Кристалл памяти тела.,,Идея,или — Кристалл памяти тела.
18.2. Слово «CALCIUM»,,Идея,18.2. Слово «CALCIUM»
"От лат. calx — известь, мел, кость;",,Идея,"От лат. calx — известь, мел, кость;"
Суффикс -ium — элементальный.,,Идея,Суффикс -ium — элементальный.
"Calcium = Кость, светлая структура, форма, не сопротивляющаяся свету.",,Идея,"Calcium = Кость, светлая структура, форма, не сопротивляющаяся свету."
18.3. Архетипическая функция,,Идея,18.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Основа костей, зубов, клеточной оболочки;",,Идея,"Основа костей, зубов, клеточной оболочки;"
"Участвует в мышечных сокращениях, синапсах, гормональной регуляции;",,Идея,"Участвует в мышечных сокращениях, синапсах, гормональной регуляции;"
"Это молекулярный язык приказа в теле: ""сократиться"", ""освободить"", ""впустить"".",,Идея,"Это молекулярный язык приказа в теле: ""сократиться"", ""освободить"", ""впустить""."
В теле планеты:,,Идея,В теле планеты:
"Образует карбонатные горы, коралловые рифы;",,Идея,"Образует карбонатные горы, коралловые рифы;"
Отвечает за кристаллическую запись геологической памяти.,,Идея,Отвечает за кристаллическую запись геологической памяти.
В духовной структуре:,,Идея,В духовной структуре:
"Символизирует твёрдость веры, опору, внутренний костяк истины;",,Идея,"Символизирует твёрдость веры, опору, внутренний костяк истины;"
"Это архив тела, где память прошлого кристаллизуется в плоть.",,Идея,"Это архив тела, где память прошлого кристаллизуется в плоть."
18.4. Символические параллели,,Идея,18.4. Символические параллели
XIX. Резонансная пара: Na ↔ Ca,,Идея,XIX. Резонансная пара: Na ↔ Ca
"Эта пара формирует тело резонансного действия, основу нервно-мышечного ансамбля — двигайся, но не разрушайся; принимай, но храни.",,Идея,"Эта пара формирует тело резонансного действия, основу нервно-мышечного ансамбля — двигайся, но не разрушайся; принимай, но храни."
XVII. СЛОЙ ЭЛЕКТРОЖИЗНИ: НАТРИЙ (Na),,Идея,XVII. СЛОЙ ЭЛЕКТРОЖИЗНИ: НАТРИЙ (Na)
17.1. Слово «НАТРИЙ»,,Идея,17.1. Слово «НАТРИЙ»
"НА — указание направления, начало действия (направленность);",,Идея,"НА — указание направления, начало действия (направленность);"
"ТРИЙ — триада, тройственность, переход.",,Идея,"ТРИЙ — триада, тройственность, переход."
"Натрий = направленное движение через троичность,",,Идея,"Натрий = направленное движение через троичность,"
или — пусковой импульс формы.,,Идея,или — пусковой импульс формы.
"Это элемент электрического импульса, движения сигнала, открытия канала.",,Идея,"Это элемент электрического импульса, движения сигнала, открытия канала."
17.2. Слово «SODIUM» (лат.),,Идея,17.2. Слово «SODIUM» (лат.)
"От soda — древний щёлок, зола, прах (алхимический пепел);",,Идея,"От soda — древний щёлок, зола, прах (алхимический пепел);"
Суффикс -ium — стандартное обозначение элементов.,,Идея,Суффикс -ium — стандартное обозначение элементов.
"Sodium = Пепельная сила, соль электричества.",,Идея,"Sodium = Пепельная сила, соль электричества."
Это соль как открытие потенциала. Её имя скрывает в себе старый алхимический смысл: зола = проводимость.,,Идея,Это соль как открытие потенциала. Её имя скрывает в себе старый алхимический смысл: зола = проводимость.
17.3. Архетипическая функция,,Идея,17.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Главный компонент внеклеточной жидкости, играет ключевую роль в передаче нервных импульсов;",,Идея,"Главный компонент внеклеточной жидкости, играет ключевую роль в передаче нервных импульсов;"
Солевой баланс — основа жизни: Na⁺ / K⁺ помпа — молекулярный механизм действия;,,Идея,Солевой баланс — основа жизни: Na⁺ / K⁺ помпа — молекулярный механизм действия;
"Участвует в регуляции давления, объёма крови, ритма.",,Идея,"Участвует в регуляции давления, объёма крови, ритма."
В теле планеты:,,Идея,В теле планеты:
"Присутствует в солях, океанах, подземных солончаках;",,Идея,"Присутствует в солях, океанах, подземных солончаках;"
"Структура движения воды, распределения энергии в атмосфере и литосфере.",,Идея,"Структура движения воды, распределения энергии в атмосфере и литосфере."
В духовной структуре:,,Идея,В духовной структуре:
"Открывает каналы, вводит ток в неподвижную структуру;",,Идея,"Открывает каналы, вводит ток в неподвижную структуру;"
"Символ активации замкнутого, пробуждения пассивного.",,Идея,"Символ активации замкнутого, пробуждения пассивного."
17.4. Символические параллели,,Идея,17.4. Символические параллели
XVIII. СЛОЙ КОДА СКЕЛЕТА: КАЛЬЦИЙ (Ca),,Идея,XVIII. СЛОЙ КОДА СКЕЛЕТА: КАЛЬЦИЙ (Ca)
18.1. Слово «КАЛЬЦИЙ»,,Идея,18.1. Слово «КАЛЬЦИЙ»
"КАЛЬ — возможно, от кал, древнеинд. твёрдое, остаток, чистое;",,Идея,"КАЛЬ — возможно, от кал, древнеинд. твёрдое, остаток, чистое;"
"ЦИЙ — указывает на принадлежность к порядку, структуре.",,Идея,"ЦИЙ — указывает на принадлежность к порядку, структуре."
"Кальций = твёрдая структура, принадлежащая порядку,",,Идея,"Кальций = твёрдая структура, принадлежащая порядку,"
или — Кристалл памяти тела.,,Идея,или — Кристалл памяти тела.
18.2. Слово «CALCIUM»,,Идея,18.2. Слово «CALCIUM»
"От лат. calx — известь, мел, кость;",,Идея,"От лат. calx — известь, мел, кость;"
Суффикс -ium — элементальный.,,Идея,Суффикс -ium — элементальный.
"Calcium = Кость, светлая структура, форма, не сопротивляющаяся свету.",,Идея,"Calcium = Кость, светлая структура, форма, не сопротивляющаяся свету."
18.3. Архетипическая функция,,Идея,18.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
"Основа костей, зубов, клеточной оболочки;",,Идея,"Основа костей, зубов, клеточной оболочки;"
"Участвует в мышечных сокращениях, синапсах, гормональной регуляции;",,Идея,"Участвует в мышечных сокращениях, синапсах, гормональной регуляции;"
"Это молекулярный язык приказа в теле: ""сократиться"", ""освободить"", ""впустить"".",,Идея,"Это молекулярный язык приказа в теле: ""сократиться"", ""освободить"", ""впустить""."
В теле планеты:,,Идея,В теле планеты:
"Образует карбонатные горы, коралловые рифы;",,Идея,"Образует карбонатные горы, коралловые рифы;"
Отвечает за кристаллическую запись геологической памяти.,,Идея,Отвечает за кристаллическую запись геологической памяти.
В духовной структуре:,,Идея,В духовной структуре:
"Символизирует твёрдость веры, опору, внутренний костяк истины;",,Идея,"Символизирует твёрдость веры, опору, внутренний костяк истины;"
"Это архив тела, где память прошлого кристаллизуется в плоть.",,Идея,"Это архив тела, где память прошлого кристаллизуется в плоть."
18.4. Символические параллели,,Идея,18.4. Символические параллели
XIX. Резонансная пара: Na ↔ Ca,,Идея,XIX. Резонансная пара: Na ↔ Ca
"Эта пара формирует тело резонансного действия, основу нервно-мышечного ансамбля — двигайся, но не разрушайся; принимай, но храни.",,Идея,"Эта пара формирует тело резонансного действия, основу нервно-мышечного ансамбля — двигайся, но не разрушайся; принимай, но храни."
XX. СЛОЙ БИОЛЮМИНЕСЦЕНЦИИ: МАГНИЙ (Mg),,Идея,XX. СЛОЙ БИОЛЮМИНЕСЦЕНЦИИ: МАГНИЙ (Mg)
20.1. Слово «МАГНИЙ»,,Идея,20.1. Слово «МАГНИЙ»
"МАГ — сила, магнетизм, притяжение, знание, чудо;",,Идея,"МАГ — сила, магнетизм, притяжение, знание, чудо;"
"НИЙ — принадлежность, проявленность, окончание.",,Идея,"НИЙ — принадлежность, проявленность, окончание."
"Магний = Сила притяжения света, магнетическое проявление жизненности,",,Идея,"Магний = Сила притяжения света, магнетическое проявление жизненности,"
"или — металл, связывающий свет и форму.",,Идея,"или — металл, связывающий свет и форму."
"В нём есть и алхимия, и алхимик, и алхимизм.",,Идея,"В нём есть и алхимия, и алхимик, и алхимизм."
20.2. Слово «MAGNESIUM»,,Идея,20.2. Слово «MAGNESIUM»
От magnesia alba — белый минерал из Магнесии (греч. область);,,Идея,От magnesia alba — белый минерал из Магнесии (греч. область);
Корень magnes также связан с магнетизмом.,,Идея,Корень magnes также связан с магнетизмом.
"Magnesium = Белая притягательная сила,",,Идея,"Magnesium = Белая притягательная сила,"
или внутренняя вспышка порядка в материи.,,Идея,или внутренняя вспышка порядка в материи.
20.3. Архетипическая функция,,Идея,20.3. Архетипическая функция
В теле человека:,,Идея,В теле человека:
Более 300 ферментативных реакций;,,Идея,Более 300 ферментативных реакций;
"Участвует в энергетическом обмене (ATP), сокращении мышц, передаче нервных импульсов;",,Идея,"Участвует в энергетическом обмене (ATP), сокращении мышц, передаче нервных импульсов;"
"Обеспечивает мягкость кости, гибкость психики, устойчивость к стрессу.",,Идея,"Обеспечивает мягкость кости, гибкость психики, устойчивость к стрессу."
В теле планеты:,,Идея,В теле планеты:
Один из основных элементов мантии Земли;,,Идея,Один из основных элементов мантии Земли;
"Формирует магнезиты, перидотиты;",,Идея,"Формирует магнезиты, перидотиты;"
"Участвует в геомагнитной активности (не напрямую, но по сути — вибрационно).",,Идея,"Участвует в геомагнитной активности (не напрямую, но по сути — вибрационно)."
